fact_id,domain,estimand,statistic,unit,effect_scale,support_class,source_field,implementation_method,weight_field,primary_comparison,primary_inference,sensitivity_scales_km,multiple_testing
F04-PRIMARY-01,social,ghsl_density_patch_median_log_ratio,median_log_ratio,persons km-2,log(BWh/BWk),robust,pop_density_per_km2_polygon_area,median_log_ratio,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-02,social,ghsl_built_share_patch_median_difference,median_difference,share,BWh - BWk,robust,built_s_share_of_polygon_area,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-03,water,ai_area_weighted_mean_difference,area_weighted_mean_difference,index,BWh - BWk,not_supported,ai_scaled,area_weighted_mean_difference,area_km2,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-04,water,terraclimate_def_area_weighted_mean_difference,area_weighted_mean_difference,mm yr-1,BWh - BWk,robust,terraclimate_def_1991_2020_mean_annual_mm,area_weighted_mean_difference,area_km2,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-05,water,jrc_ever_water_fraction_area_weighted_mean_difference,area_weighted_mean_difference,share,BWh - BWk,not_supported,ever_water_fraction,area_weighted_mean_difference,area_km2,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-06,utci,utci_heat_ge32_patch_median_difference,median_difference,days yr-1,BWh - BWk,robust,utci_mean_annual_days_max_ge_32c,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-07,utci,utci_cold_le_minus13_patch_median_difference,median_difference,days yr-1,BWh - BWk,robust,utci_mean_annual_days_min_le_minus13c,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-08,utci,utci_heat_ge32_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,BWh - BWk,robust,utci_mean_annual_days_max_ge_32c,population_weighted_mean_difference,pop_2020_ghsl,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-09,utci,utci_cold_le_minus13_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,BWh - BWk,robust,utci_mean_annual_days_min_le_minus13c,population_weighted_mean_difference,pop_2020_ghsl,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-10,nex,nex_ssp245_2041_2070_tasmax_patch_median_difference,median_difference,degC,BWh - BWk,robust,nex_ssp245_2041_2070_tasmax_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-11,nex,nex_ssp245_2041_2070_tasmin_patch_median_difference,median_difference,degC,BWh - BWk,robust,nex_ssp245_2041_2070_tasmin_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-12,nex,nex_ssp245_2041_2070_pr_patch_median_difference,median_difference,mm day-1,BWh - BWk,robust,nex_ssp245_2041_2070_pr_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-13,nex,nex_ssp245_2071_2099_tasmax_patch_median_difference,median_difference,degC,BWh - BWk,robust,nex_ssp245_2071_2099_tasmax_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-14,nex,nex_ssp245_2071_2099_tasmin_patch_median_difference,median_difference,degC,BWh - BWk,sensitive,nex_ssp245_2071_2099_tasmin_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
F04-PRIMARY-15,nex,nex_ssp245_2071_2099_pr_patch_median_difference,median_difference,mm day-1,BWh - BWk,robust,nex_ssp245_2071_2099_pr_delta_1995_2014_median,median_difference,none,BWh oases minus BWk oases,500 km spatial-block bootstrap,250;1000,Benjamini-Hochberg FDR within domain
