area_bin,exact_background_class,feature_count,area_km2,area_share_of_global_pct,background_class
1-10,BWh_background,778,3265.697458,0.143693634082177,BWh oases
1-10,BWk_background,400,1461.656787,0.0643142171637468,BWk oases
1-10,mixed_BWh_BWk,21,96.569723,0.0042491549259059,BWh/BWk oases
1-10,non_BWh_BWk_background,343,1327.408288,0.0584071621044574,non-BW oases
10-100,BWh_background,686,24273.110015,1.06803873702002,BWh oases
10-100,BWk_background,208,6773.63552,0.298046073261485,BWk oases
10-100,mixed_BWh_BWk,46,1949.713742,0.0857891634516314,BWh/BWk oases
10-100,non_BWh_BWk_background,244,8580.628452,0.377555392327099,non-BW oases
"100-1,000",BWh_background,268,89266.109614,3.92778934845641,BWh oases
"100-1,000",BWk_background,93,32785.637903,1.44259764309876,BWk oases
"100-1,000",mixed_BWh_BWk,37,13471.269815,0.592748024063557,BWh/BWk oases
"100-1,000",non_BWh_BWk_background,126,38780.410847,1.70637306041755,non-BW oases
"1,000-10,000",BWh_background,70,198192.82568,8.72066311629977,BWh oases
"1,000-10,000",BWk_background,29,86342.719459,3.79915754449584,BWk oases
"1,000-10,000",mixed_BWh_BWk,19,64813.35999,2.85184630659055,BWh/BWk oases
"1,000-10,000",non_BWh_BWk_background,29,94590.604081,4.16207190814038,non-BW oases
">=10,000",BWh_background,20,950410.889046,41.8189364675348,BWh oases
">=10,000",BWk_background,12,415781.359594,18.2947548914343,BWk oases
">=10,000",mixed_BWh_BWk,8,240517.072472,10.5829681551315,BWh/BWk oases
">=10,000",non_BWh_BWk_background,0,0.0,0.0,non-BW oases
