OasisID,continent,exact_background_class,background_class,polygon_area_km2
ASCN12073,Asia,BWk_background,BWk oases,17.708325
ASCN12128,Asia,BWk_background,BWk oases,5.634114
ASCN12187,Asia,BWk_background,BWk oases,2.184434
ASCN12060,Asia,BWk_background,BWk oases,27.722928
ASCN12211,Asia,BWk_background,BWk oases,1.632277
ASCN12037,Asia,BWk_background,BWk oases,62.212295
ASCN12061,Asia,BWk_background,BWk oases,27.57585
ASCN12115,Asia,BWk_background,BWk oases,6.988738
ASCN12070,Asia,BWk_background,BWk oases,19.872791
ASCN12036,Asia,BWk_background,BWk oases,62.507363
ASCN12138,Asia,BWk_background,BWk oases,4.52719
ASCN12205,Asia,BWk_background,BWk oases,1.786525
ASCN12134,Asia,BWk_background,BWk oases,4.810684
ASCN12234,Asia,BWk_background,BWk oases,1.278529
ASCN12065,Asia,BWk_background,BWk oases,21.6456
ASCN12133,Asia,BWk_background,BWk oases,4.87827
ASCN12006,Asia,BWk_background,BWk oases,2279.360516
ASCN12035,Asia,BWk_background,BWk oases,65.129493
ASCN12166,Asia,BWk_background,BWk oases,2.893498
ASCN12254,Asia,BWk_background,BWk oases,1.071155
ASCN12108,Asia,BWk_background,BWk oases,8.167777
ASCN12140,Asia,BWk_background,BWk oases,4.434296
ASCN12184,Asia,BWk_background,BWk oases,2.199727
ASCN12100,Asia,BWk_background,BWk oases,8.727671
ASCN12093,Asia,BWk_background,BWk oases,9.735007
ASCN12056,Asia,BWk_background,BWk oases,28.358268
ASCN12199,Asia,BWk_background,BWk oases,1.869399
ASCN12089,Asia,BWk_background,BWk oases,10.712412
ASCN12084,Asia,BWk_background,BWk oases,12.029854
ASCN12022,Asia,BWk_background,BWk oases,180.410769
ASCN12154,Asia,BWk_background,BWk oases,3.636436
ASCN12030,Asia,BWk_background,BWk oases,82.330395
ASCN12088,Asia,BWk_background,BWk oases,10.762371
ASCN12066,Asia,BWk_background,BWk oases,21.200798
ASCN12079,Asia,BWk_background,BWk oases,14.601358
ASCN12195,Asia,BWk_background,BWk oases,2.025368
ASCN12057,Asia,BWk_background,BWk oases,28.318563
ASCN12157,Asia,BWk_background,BWk oases,3.593125
ASCN13001,Asia,BWk_background,BWk oases,962.404425
ASCN12027,Asia,BWk_background,BWk oases,120.309604
ASCN15013,Asia,BWk_background,BWk oases,148.236391
ASCN15002,Asia,BWk_background,BWk oases,1487.903348
ASCN15015,Asia,BWk_background,BWk oases,84.449014
ASCN15009,Asia,BWk_background,BWk oases,196.158897
ASCN12121,Asia,BWk_background,BWk oases,6.157369
ASCN12099,Asia,BWk_background,BWk oases,8.830151
ASCN12214,Asia,BWk_background,BWk oases,1.527092
ASCN12218,Asia,BWk_background,BWk oases,1.39894
ASCN12177,Asia,BWk_background,BWk oases,2.589863
ASCN12029,Asia,BWk_background,BWk oases,90.845283
ASCN12210,Asia,BWk_background,BWk oases,1.636911
ASCN12163,Asia,BWk_background,BWk oases,3.26237
ASCN12032,Asia,BWk_background,BWk oases,74.731375
ASCN12038,Asia,BWk_background,BWk oases,58.399149
ASCN12112,Asia,BWk_background,BWk oases,7.147633
ASCN12148,Asia,BWk_background,BWk oases,4.010559
ASCN12171,Asia,BWk_background,BWk oases,2.709145
ASCN12052,Asia,BWk_background,BWk oases,35.182569
