OasisID,continent,exact_background_class,background_class,polygon_area_km2,ghsl_population_2020_persons,ghsl_population_density_persons_per_km2,ghsl_built_up_area_2020_km2,ghsl_built_up_area_fraction
ASCN12073,Asia,BWk_background,BWk oases,17.708325,490.212896,27.68262362476406,0.009938,0.0005612049699788
ASCN12128,Asia,BWk_background,BWk oases,5.634114,64.666679,11.47770155165479,6e-05,1.064941177974034e-05
ASCN12187,Asia,BWk_background,BWk oases,2.184434,0.0,0.0,0.0,0.0
ASCN12060,Asia,BWk_background,BWk oases,27.722928,4167.061716,150.3110247229297,0.030887,0.0011141319560473
ASCN12211,Asia,BWk_background,BWk oases,1.632277,0.0,0.0,0.0,0.0
ASCN12037,Asia,BWk_background,BWk oases,62.212295,18535.057213,297.9323815814864,0.053186,0.0008549113965334
ASCN12061,Asia,BWk_background,BWk oases,27.57585,124.865918,4.528089542117469,0.000397,1.439665504417815e-05
ASCN12115,Asia,BWk_background,BWk oases,6.988738,72.706286,10.4033497893325,0.001755,0.0002511182991836
ASCN12070,Asia,BWk_background,BWk oases,19.872791,9085.914126,457.2037277501686,0.044024,0.0022152902428249
ASCN12036,Asia,BWk_background,BWk oases,62.507363,4752.345765,76.02857546558155,0.114802,0.0018366156319856
ASCN12138,Asia,BWk_background,BWk oases,4.52719,45.22901,9.99052613210402,0.000219,4.837437792537976e-05
ASCN12205,Asia,BWk_background,BWk oases,1.786525,0.0,0.0,0.0,0.0
ASCN12134,Asia,BWk_background,BWk oases,4.810684,125.609567,26.11054207676081,0.004124,0.0008572585520063
ASCN12234,Asia,BWk_background,BWk oases,1.278529,0.0,0.0,0.0,0.0
ASCN12065,Asia,BWk_background,BWk oases,21.6456,1350.284017,62.381454752929,0.001339,6.186014709686958e-05
ASCN12133,Asia,BWk_background,BWk oases,4.87827,0.0,0.0,0.0,0.0
ASCN12006,Asia,BWk_background,BWk oases,2279.360516,350654.938297,153.8391736785705,7.504224,0.0032922497109711
ASCN12035,Asia,BWk_background,BWk oases,65.129493,14539.133349,223.2342473324642,0.147892,0.0022707377746668
ASCN12166,Asia,BWk_background,BWk oases,2.893498,0.0,0.0,0.0,0.0
