baseline_id,background_class,metric_group,threshold,mean_annual_days,exact_background_class
analysis_release_3437,BWh oases,heat,>=32C,203.5920836995821,BWh_background
analysis_release_3437,BWh oases,heat,>=38C,124.87676931445242,BWh_background
analysis_release_3437,BWh oases,heat,>=46C,30.240385707256145,BWh_background
analysis_release_3437,BWh oases,cold,<=-13C,4.825832418587633,BWh_background
analysis_release_3437,BWh oases,cold,<=-27C,0.0768203439443834,BWh_background
analysis_release_3437,BWh oases,cold,<=-40C,0.0006952067325283,BWh_background
analysis_release_3437,BWk oases,heat,>=32C,64.32663971248877,BWk_background
analysis_release_3437,BWk oases,heat,>=38C,18.531581311769997,BWk_background
analysis_release_3437,BWk oases,heat,>=46C,0.3449236298292902,BWk_background
analysis_release_3437,BWk oases,cold,<=-13C,116.3774483378257,BWk_background
analysis_release_3437,BWk oases,cold,<=-27C,35.869766397124884,BWk_background
analysis_release_3437,BWk oases,cold,<=-40C,2.356469002695418,BWk_background
analysis_release_3437,BWh/BWk oases,heat,>=32C,98.97760814249364,mixed_BWh_BWk
analysis_release_3437,BWh/BWk oases,heat,>=38C,34.68015267175573,mixed_BWh_BWk
analysis_release_3437,BWh/BWk oases,heat,>=46C,0.5353689567430024,mixed_BWh_BWk
analysis_release_3437,BWh/BWk oases,cold,<=-13C,16.45343511450382,mixed_BWh_BWk
analysis_release_3437,BWh/BWk oases,cold,<=-27C,0.2913486005089059,mixed_BWh_BWk
analysis_release_3437,BWh/BWk oases,cold,<=-40C,0.0007633587786259,mixed_BWh_BWk
analysis_release_3437,non-BW oases,heat,>=32C,69.28085368174595,non_BWh_BWk_background
analysis_release_3437,non-BW oases,heat,>=38C,19.62132279066474,non_BWh_BWk_background
analysis_release_3437,non-BW oases,heat,>=46C,0.7730458221024259,non_BWh_BWk_background
analysis_release_3437,non-BW oases,cold,<=-13C,86.01949685534592,non_BWh_BWk_background
analysis_release_3437,non-BW oases,cold,<=-27C,20.703459119496856,non_BWh_BWk_background
analysis_release_3437,non-BW oases,cold,<=-40C,1.7208445642407906,non_BWh_BWk_background
