fact_id,fact_role,domain,comparison,estimand,statistic,unit,n_bwh,n_bwk,estimate_bwh,estimate_bwk,effect_bwh_minus_bwk,effect_scale,ci95_low,ci95_high,fdr_q,support_class,sensitivity_summary,display_precision_policy,baseline_id
F04-PRIMARY-01,primary_inferential,social,BWh_background_minus_BWk_background,ghsl_density_patch_median_log_ratio,median_log_ratio,persons km-2,1822,742,44.84294837949498,14.151735953602248,1.153329050578497,log(BWh/BWk),0.31234991525968936,1.8328084570249028,0.01199400299850075,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: area-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-02,primary_inferential,social,BWh_background_minus_BWk_background,ghsl_built_share_patch_median_difference,median_difference,share,1822,742,0.0051342930341783,0.0014824792006268,0.0036518138335515,BWh - BWk,0.0015633978701451025,0.00603280453646408,0.001999000499750125,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: area-weighted mean difference direction_agrees=True,display at 4 decimal places to avoid rounding a nonzero small fraction to zero; raw precision retained,analysis_release_3437
F04-PRIMARY-03,primary_inferential,water,BWh_background_minus_BWk_background,ai_area_weighted_mean_difference,area_weighted_mean_difference,index,1822,742,0.11684162022399737,0.14167295971324342,-0.024831339489246054,BWh - BWk,-0.07841848830625904,0.026631717701117334,0.6146926536731634,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-04,primary_inferential,water,BWh_background_minus_BWk_background,terraclimate_def_area_weighted_mean_difference,area_weighted_mean_difference,mm yr-1,1822,742,1710.1841621985848,983.6338724578396,726.5502897407451,BWh - BWk,586.7511198733079,912.242959569965,0.002498750624687656,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-05,primary_inferential,water,BWh_background_minus_BWk_background,jrc_ever_water_fraction_area_weighted_mean_difference,area_weighted_mean_difference,share,1822,742,0.09043571337242072,0.10273376588425515,-0.012298052511834426,BWh - BWk,-0.06878589848032132,0.03309648692825973,0.8008495752123939,not_supported,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: patch-median difference direction_agrees=True; remove_top1pct_largest_area direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-06,primary_inferential,utci,BWh_background_minus_BWk_background,utci_heat_ge32_patch_median_difference,median_difference,days yr-1,1822,742,205.36666666666667,65.33333333333333,140.03333333333336,BWh - BWk,109.7325,165.3391666666666,0.0009995002498750624,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: population-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-07,primary_inferential,utci,BWh_background_minus_BWk_background,utci_cold_le_minus13_patch_median_difference,median_difference,days yr-1,1822,742,0.9,124.66666666666669,-123.76666666666668,BWh - BWk,-153.4675,-71.46416666666669,0.0009995002498750624,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: population-weighted mean difference direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-08,primary_inferential,utci,BWh_background_minus_BWk_background,utci_heat_ge32_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,1822,742,221.3788024081114,83.34465737846327,138.03414502964813,BWh - BWk,100.33714895500776,177.23911120639116,0.0009995002498750624,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-09,primary_inferential,utci,BWh_background_minus_BWk_background,utci_cold_le_minus13_population_weighted_mean_difference,population_weighted_mean_difference,days yr-1,1822,742,1.4339392882625024,101.10612570087646,-99.67218641261395,BWh - BWk,-121.89707909499421,-82.8442695357251,0.0009995002498750624,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
F04-PRIMARY-10,primary_inferential,nex,BWh_background_minus_BWk_background,nex_ssp245_2041_2070_tasmax_patch_median_difference,median_difference,degC,1822,742,1.8925590190941488,2.07177734375,-0.1792183246558512,BWh - BWk,-0.2703915584664289,-0.10917426782812566,0.0017134289997858213,robust,spatial scales: 250 km direction_agrees=True; support_agrees=True; 1000 km direction_agrees=True; support_agrees=True | key alternatives: polygon_only_2871 direction_agrees=True,display at up to 2 decimal places in manuscript prose/figures; raw precision retained in master source,analysis_release_3437
